Rnd,Pick,Tm,Player,Pos,Age,To,Misc.AP1,Misc.PB,St,wAV,DrAV,G,Pass.Cmp,Pass.Att,Pass.Yds,Pass.TD,Pass.Int,Rush.Att,Rush.Yds,Rush.TD,Rec.Rec,Rec.Yds,Rec.TD,Solo,Int,Sk,College/Univ,,-9999
3,75,HOU,Christian Harris,LB,21,2023,0,0,1,12,12,28,0,0,0,0,0,0,0,0,0,0,0,111,1,3,Alabama,College Stats,HarrCh06
3,76,BAL,Travis Jones,DT,22,2023,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,34,,2.5,Connecticut,College Stats,JoneTr00
3,77,IND,Bernhard Raimann,OL,24,2023,0,0,1,12,12,31,0,0,0,0,0,0,0,0,0,0,0,,,,Central Michigan,College Stats,RaimBe00
3,78,CLE,Alex Wright,DE,22,2023,0,0,0,6,6,33,0,0,0,0,0,0,0,0,0,0,0,29,,5,Ala-Birmingham,College Stats,WrigAl01
3,79,LAC,JT Woods,S,22,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,7,,,Baylor,College Stats,WoodJT00
3,80,DEN,Greg Dulcich,TE,22,2023,0,0,0,3,3,12,0,0,0,0,0,0,0,0,36,436,2,,,,UCLA,College Stats,DulcGr00
3,81,NYG,Cordale Flott,CB,21,2023,0,0,0,5,5,25,0,0,0,0,0,0,0,0,0,0,0,40,1,,LSU,College Stats,FlotCo00
3,82,ATL,DeAngelo Malone,DE,23,2023,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,22,,1,Western Kentucky,College Stats,MaloDe00
3,83,PHI,Nakobe Dean,LB,21,2023,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,31,,0.5,Georgia,College Stats,DeanNa00
3,84,PIT,DeMarvin Leal,DT,22,2023,0,0,0,4,4,23,0,0,0,0,0,0,0,0,0,0,0,18,,1,Texas A&M,College Stats,LealDe00
3,85,NWE,Marcus Jones,CB,23,2023,1,0,0,11,11,17,0,0,0,0,0,0,0,0,4,78,1,38,2,,Houston,College Stats,JoneMa06
3,86,TEN,Malik Willis,QB,23,2023,0,0,0,1,1,11,35,66,350,0,3,32,144,1,0,0,0,1,,,Liberty,College Stats,WillMa12
3,87,ARI,Cameron Thomas,DE,22,2023,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,20,,3,San Diego St.,College Stats,ThomCa03
3,88,DAL,Jalen Tolbert,WR,23,2023,0,0,0,3,3,25,0,0,0,0,0,0,0,0,24,280,2,4,,,South Alabama,College Stats,TolbJa00
3,89,BUF,Terrel Bernard,LB,23,2023,0,0,0,13,13,33,0,0,0,0,0,0,0,0,0,0,0,95,3,6.5,Baylor,College Stats,BernTe00
3,90,LVR,Dylan Parham,OL,23,2023,0,0,1,13,13,34,0,0,0,0,0,0,0,0,0,0,0,1,,,Memphis,College Stats,ParhDy00
3,91,TAM,Rachaad White,RB,23,2023,0,0,0,14,14,34,0,0,0,0,0,401,1471,7,114,839,5,4,,,Arizona St.,College Stats,WhitRa01
3,92,GNB,Sean Rhyan,OL,23,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,RhyaSe00
3,93,SFO,Tyrion Davis-Price,RB,21,2023,0,0,0,1,1,7,0,0,0,0,0,40,120,0,0,0,0,,,,LSU,College Stats,DaviTy03
3,94,CAR,Matt Corral,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,CorrMa00
3,95,CIN,Zachary Carter,DE,23,2023,0,0,1,8,8,33,0,0,0,0,0,0,0,0,0,0,0,18,,0.5,Florida,College Stats,CartZa00
3,96,IND,Nick Cross,DB,20,2023,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,0,35,1,,Maryland,College Stats,CrosNi00
3,97,DET,Kerby Joseph,DB,21,2023,0,0,1,10,10,32,0,0,0,0,0,0,0,0,0,0,0,124,8,,Illinois,College Stats,JoseKe03
3,98,WAS,Brian Robinson Jr.,RB,23,2023,0,0,1,10,10,27,0,0,0,0,0,383,1530,7,45,428,5,1,,,Alabama,College Stats,RobiBr01
3,99,CLE,David Bell,WR,21,2023,0,0,0,3,3,31,0,0,0,0,0,0,0,0,38,381,3,1,,,Purdue,College Stats,BellDa02
